VARLIST:,time,band,FIELD,flux,e_flux,magnitude,e_magnitude,upperlimit,instrument
OBS:,58097.51,r,NULL,74.189,69.139,22.824,1.012,F,-Pan-Starrs
OBS:,58098.53,r,NULL,22.763,63.212,24.107,3.015,F,-Pan-Starrs
OBS:,58100.64,g,NULL,13.249,68.087,24.695,5.58,F,-Pan-Starrs
OBS:,58110.47,g,NULL,795.544,43.538,20.248,0.059,F,-Pan-Starrs
OBS:,58110.47,r,NULL,767.299,39.353,20.288,0.056,F,-Pan-Starrs
OBS:,58110.63,g,NULL,895.025,43.197,20.12,0.052,F,-Pan-Starrs
OBS:,58111.5,g,NULL,889.926,35.662,20.127,0.044,F,-Pan-Starrs
OBS:,58111.51,i,NULL,741.041,45.364,20.325,0.066,F,-Pan-Starrs
OBS:,58111.61,g,NULL,832.842,36.316,20.199,0.047,F,-Pan-Starrs
OBS:,58112.47,g,NULL,705.553,47.181,20.379,0.073,F,-Pan-Starrs
OBS:,58112.48,r,NULL,843.773,44.593,20.184,0.057,F,-Pan-Starrs
OBS:,58113.46,g,NULL,600.382,42.557,20.554,0.077,F,-Pan-Starrs
OBS:,58113.47,i,NULL,633.994,40.119,20.495,0.069,F,-Pan-Starrs
OBS:,58113.62,g,NULL,575.174,34.704,20.601,0.066,F,-Pan-Starrs
OBS:,58115.48,i,NULL,594.355,67.708,20.565,0.124,F,-Pan-Starrs
OBS:,58115.48,g,NULL,301.641,80.343,21.301,0.289,F,-Pan-Starrs
OBS:,58115.62,g,NULL,279.354,42.536,21.385,0.165,F,-Pan-Starrs
OBS:,58116.47,g,NULL,250.426,75.512,21.503,0.327,F,-Pan-Starrs
OBS:,58116.48,r,NULL,405.847,85.157,20.979,0.228,F,-Pan-Starrs
OBS:,58116.6,g,NULL,281.075,47.056,21.378,0.182,F,-Pan-Starrs
OBS:,58117.46,r,NULL,446.026,56.809,20.877,0.138,F,-Pan-Starrs
OBS:,58117.46,i,NULL,371.988,57.346,21.074,0.167,F,-Pan-Starrs
OBS:,58117.47,y,NULL,539.158,269.281,20.671,0.542,F,-Pan-Starrs
OBS:,58117.47,z,NULL,410.474,111.772,20.967,0.296,F,-Pan-Starrs
OBS:,58117.47,z,NULL,400.919,98.201,20.992,0.266,F,-Pan-Starrs
OBS:,58117.63,g,NULL,195.468,31.529,21.772,0.175,F,-Pan-Starrs
OBS:,58125.44,z,NULL,469.97,89.383,20.82,0.206,F,-Pan-Starrs
OBS:,58125.61,i,NULL,310.336,52.226,21.27,0.183,F,-Pan-Starrs
OBS:,58126.42,r,NULL,413.359,48.897,20.959,0.128,F,-Pan-Starrs
OBS:,58126.43,i,NULL,468.084,79.032,20.824,0.183,F,-Pan-Starrs
OBS:,58126.59,r,NULL,357.497,72.08,21.117,0.219,F,-Pan-Starrs
OBS:,58127.43,g,NULL,239.111,45.216,21.554,0.205,F,-Pan-Starrs
OBS:,58127.44,r,NULL,429.4,46.276,20.918,0.117,F,-Pan-Starrs
OBS:,58127.55,r,NULL,468.165,44.951,20.824,0.104,F,-Pan-Starrs
OBS:,58128.43,g,NULL,363.732,60.699,21.098,0.181,F,-Pan-Starrs
OBS:,58128.44,i,NULL,495.854,57.684,20.762,0.126,F,-Pan-Starrs
OBS:,58129.6,g,NULL,291.435,41.945,21.339,0.156,F,-Pan-Starrs
OBS:,58129.61,r,NULL,449.82,51.544,20.867,0.124,F,-Pan-Starrs
OBS:,58130.45,g,NULL,174.888,49.83,21.893,0.309,F,-Pan-Starrs
OBS:,58130.46,i,NULL,660.041,45.438,20.451,0.075,F,-Pan-Starrs
OBS:,58130.6,g,NULL,305.86,53.54,21.286,0.19,F,-Pan-Starrs
OBS:,58131.45,g,NULL,357.882,51.611,21.116,0.157,F,-Pan-Starrs
OBS:,58131.46,r,NULL,465.52,44.635,20.83,0.104,F,-Pan-Starrs
OBS:,58131.56,g,NULL,243.009,53.878,21.536,0.241,F,-Pan-Starrs
OBS:,58132.42,g,NULL,397.351,48.913,21.002,0.134,F,-Pan-Starrs
OBS:,58132.43,i,NULL,514.182,54.802,20.722,0.116,F,-Pan-Starrs
OBS:,58132.55,g,NULL,315.333,32.195,21.253,0.111,F,-Pan-Starrs
OBS:,58133.4,g,NULL,289.001,34.191,21.348,0.128,F,-Pan-Starrs
OBS:,58133.41,r,NULL,565.639,34.66,20.619,0.067,F,-Pan-Starrs
OBS:,58133.56,g,NULL,357.773,32.513,21.116,0.099,F,-Pan-Starrs
OBS:,58134.4,g,NULL,294.982,31.731,21.326,0.117,F,-Pan-Starrs
OBS:,58134.41,i,NULL,532.606,37.48,20.684,0.076,F,-Pan-Starrs
OBS:,58134.57,g,NULL,232.055,49.759,21.586,0.233,F,-Pan-Starrs
OBS:,58135.4,g,NULL,339.733,34.544,21.172,0.11,F,-Pan-Starrs
OBS:,58135.41,r,NULL,445.566,41.575,20.878,0.101,F,-Pan-Starrs
OBS:,58135.58,g,NULL,165.689,85.407,21.952,0.56,F,-Pan-Starrs
OBS:,58136.56,i,NULL,463.316,93.85,20.835,0.22,F,-Pan-Starrs
OBS:,58138.55,g,NULL,176.393,29.302,21.884,0.18,F,-Pan-Starrs
OBS:,58139.57,r,NULL,335.836,50.757,21.185,0.164,F,-Pan-Starrs
OBS:,58140.55,g,NULL,160.689,42.302,21.985,0.286,F,-Pan-Starrs
OBS:,58140.56,i,NULL,378.797,42.352,21.054,0.121,F,-Pan-Starrs
OBS:,58152.33,i,NULL,323.487,73.989,21.225,0.248,F,-Pan-Starrs
OBS:,58152.34,z,NULL,282.728,113.323,21.372,0.435,F,-Pan-Starrs
OBS:,58153.34,z,NULL,443.165,184.064,20.884,0.451,F,-Pan-Starrs
OBS:,58153.49,i,NULL,213.711,1141.472,21.675,5.799,F,-Pan-Starrs
OBS:,58157.36,g,NULL,148.239,64.383,22.073,0.472,F,-Pan-Starrs
OBS:,58157.37,r,NULL,206.343,60.639,21.714,0.319,F,-Pan-Starrs
OBS:,58158.47,g,NULL,151.44,72.851,22.049,0.522,F,-Pan-Starrs
OBS:,58158.48,i,NULL,264.934,103.641,21.442,0.425,F,-Pan-Starrs
OBS:,58159.48,g,NULL,161.218,58.362,21.981,0.393,F,-Pan-Starrs
OBS:,58161.33,g,NULL,156.365,37.71,22.015,0.262,F,-Pan-Starrs
OBS:,58161.34,r,NULL,160.702,35.76,21.985,0.242,F,-Pan-Starrs
OBS:,58162.56,g,NULL,83.185,49.14,22.7,0.641,F,-Pan-Starrs
OBS:,58162.57,i,NULL,245.862,53.796,21.523,0.238,F,-Pan-Starrs
OBS:,58163.53,r,NULL,210.478,131.009,21.692,0.676,F,-Pan-Starrs
OBS:,58167.5,g,NULL,67.063,49.243,22.934,0.797,F,-Pan-Starrs
OBS:,58167.51,r,NULL,172.037,65.596,21.911,0.414,F,-Pan-Starrs
OBS:,58169.35,r,NULL,115.393,47.309,22.345,0.445,F,-Pan-Starrs
OBS:,58185.25,r,NULL,119.577,43.394,22.306,0.394,F,-Pan-Starrs
OBS:,58185.41,g,NULL,49.352,35.479,23.267,0.781,F,-Pan-Starrs
